19:00:08 | INFO | base_ammeter.py:31 | CircutorAmmeter is running on port 5002
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65454)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.6173274191987979, 0.4468460717157613, 0.10927121853181714, 0.3779147604379629, 0.7927333112156526, 0.2592844842301971, 0.445649186351884, 0.9507933606825093, 0.9175428809906856, 0.44255022371422736], Time Step: 0.007492197771474586s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.04015752761256592A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65455)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7143729924321468, 0.7713650184169365, 0.5612625077000658, 0.6168861053722755, 0.8365357551805263, 0.614461890861053, 0.38009145908152286, 0.3325991178953063, 0.8430444964004847, 0.2252663666888655], Time Step: 0.005173435132051003s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03050198226682244A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65456)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.793174296532662, 0.22192771183179943, 0.34407403870872433, 0.840742124206492, 0.24238441254967857, 0.520978423098654, 0.11731613138808805, 0.9893754034602622, 0.8470932737713638, 0.9753565519486315], Time Step: 0.009562211226176297s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.05634458731184597A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65457)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.89164756092058, 0.20925656079379423, 0.16980177422190312, 0.8829797218551961, 0.5538574298479518, 0.6249491359496318, 0.5475472156295086, 0.4778559386196346, 0.7524321570313833, 0.9258915835094442], Time Step: 0.00406808256058302s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02455583756461223A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65458)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.717082814094335, 0.14710289746122907, 0.6290160285110075, 0.2426852411851378, 0.8008030161088825, 0.2714067077851348, 0.4774297396130037, 0.44868597105472074, 0.7727068289843725, 0.4673403832800269], Time Step: 0.0030794090433842822s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.01531778008284427A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65459)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.45163800078377037, 0.6480385085358566, 0.953375431661186, 0.778676746376106, 0.4091289680925264, 0.4722217645290536, 0.683032663777994, 0.7345848875531319, 0.3524137628445497, 0.8557674239135017], Time Step: 0.0050062867170057234s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03173424152345191A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65460)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.4954471442052062, 0.8538029678884365, 0.6820995632563776, 0.6489810966339585, 0.864166341557452, 0.8152429023231671, 0.7756366401700916, 0.5408475302587007, 0.6995013677135057, 0.2590351324910916], Time Step: 0.0021994227514699587s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.014592643604442115A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65461)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7320836891168627, 0.653416846492082, 0.18153344480370243, 0.7305967988694434, 0.6022760659831957, 0.7711738529652926, 0.9194308615179556, 0.8542229766293029, 0.27764457076895366, 0.1802073839682416], Time Step: 0.006984699844607885s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.04122779494727576A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65462)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.27471343002995835, 0.5013162657292355, 0.17823363374728318, 0.7150291111044441, 0.7823250042378603, 0.9567693756726339, 0.1082944930525239, 0.6609587012471642, 0.6525200252211378, 0.6205063232664733], Time Step: 0.0063876562048267764s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03481698281602951A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65463)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8478805828976862, 0.9959574288398724, 0.7574225372136854, 0.5089634960659654, 0.8274376801201405, 0.55982561942664, 0.790780032191942, 0.4540514664823203, 0.8329665063895646, 0.719922401050626], Time Step: 0.009871701017165037s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.07201610977280264A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65464)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8063149203784283, 0.3417240880126444, 0.7822237571597359, 0.4879679890716573, 0.29626612581546746, 0.15724110755243986, 0.23249788583443254, 0.6217304871548994, 0.22153993253120183, 0.7778656272180473], Time Step: 0.003850296270504165s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.018194081883127794A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65465)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.21435878984569096, 0.19914024553384818, 0.6708820072059092, 0.9036558036352743, 0.6485562898931598, 0.7693569812633658, 0.7320289819371713, 0.43660403795806646, 0.9813746098914801, 0.9586394489170313], Time Step: 0.009818604636061438s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.06396425423151372A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65466)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.4360423119681881, 0.5378269037508417, 0.6291249572743787, 0.7658147095896244, 0.7766557770756672, 0.16880335307960825, 0.2544145874291008, 0.8591731449204322, 0.7818150889440456, 0.716578737057057], Time Step: 0.0034905738241356368s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02068601162813811A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65467)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8757833571066818, 0.4295224344913675, 0.4496928711701452, 0.3169198055763199, 0.28908597739955183, 0.5406909394850098, 0.7837105900895933, 0.8793968350955282, 0.5035588500181597, 0.22002459145869774], Time Step: 0.0037038354388285104s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.019587312413967564A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65468)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5771269559148666, 0.9920369406785405, 0.20446925896345175, 0.9679809125123793, 0.19051988543020115, 0.6631438691416525, 0.41737133414991123, 0.6711452618715394, 0.8125809338528607, 0.38016153444162026], Time Step: 0.007653687797303904s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.04497717866210924A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65469)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.9462871733221924, 0.38444241479546637, 0.7150135260659062, 0.7876833167073954, 0.3111361161957648, 0.5173330767380504, 0.5976444636319987, 0.976626567236447, 0.48594730923328255, 0.43544645316829134], Time Step: 0.004340248868533103s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.026725344633219905A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65470)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8616956176278714, 0.7716970061981777, 0.7847868709539556, 0.7977811240860716, 0.5502251359179641, 0.9789819525083635, 0.21769019742341617, 0.2865201304519003, 0.2736372103980783, 0.41297625906595914], Time Step: 0.0044390552892593135s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02635019448563395A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65471)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.11514840221108796, 0.380495552405663, 0.9895223430584212, 0.3278049976654977, 0.8520027475918761, 0.12586683090827547, 0.7861054998331205, 0.6309339552034717, 0.46571104527356844, 0.9233411187812995], Time Step: 0.009460996280984041s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.05295255750055104A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65472)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7891497508972016, 0.47982494832133005, 0.2258935104552598, 0.4747220168618155, 0.6814679016160972, 0.1531150755332555, 0.6648983876566249, 0.5194089568770125, 0.8443950563500733, 0.21778425832820109], Time Step: 0.007592811668223954s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.038348709139233765A
19:00:11 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 65473)
19:00:11 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.23030063232542333, 0.24684243069462575, 0.29062128579138324, 0.842286907427521, 0.197265662789493, 0.27359119760901673, 0.310349001381113, 0.9301274733649596, 0.16617850729084563, 0.9228850463597036], Time Step: 0.009414233796145255s
19:00:11 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.041520989983126026A
19:00:11 | INFO | base_ammeter.py:49 | Stopping CircutorAmmeter server on port 5002
