01:01:13 | INFO | base_ammeter.py:31 | CircutorAmmeter is running on port 5002
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53308)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.9306599676492029, 0.21430202367564616, 0.5750944528886875, 0.6576651799927888, 0.5431662127333113, 0.4837670627389362, 0.5985832123770901, 0.39527521314058023, 0.3213107930908107, 0.4897231383625493], Time Step: 0.002462664239490026s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.012829365732884348A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53309)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.36981591431284977, 0.6575886784074545, 0.45312000157663157, 0.8387956372957878, 0.6676180964371708, 0.4998604095599263, 0.5207720778311328, 0.5744308906411584, 0.5136347806301715, 0.2898760233573777], Time Step: 0.0034426270307625134s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.018540310941606637A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53310)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5554973147539318, 0.2093208626548727, 0.4772230479349855, 0.3004448116098906, 0.7462358262314148, 0.685271163674779, 0.39871075588885296, 0.26045546700073463, 0.29697966788417557, 0.9874760480497539], Time Step: 0.002578443197158894s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.01267979085451311A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53311)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.6560225537278453, 0.3169018479095193, 0.3105771964967695, 0.12969468400287423, 0.5709659107699147, 0.5033050133998811, 0.2341940167861781, 0.5066625501604787, 0.8043256047668206, 0.8471889920556656], Time Step: 0.0073106702126353946s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03567488901458948A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53312)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5504954781893844, 0.9851245440600115, 0.7022874298439531, 0.4871968334095317, 0.28122556006765437, 0.635451048597597, 0.8882354679449643, 0.9941552139289541, 0.7877066216034541, 0.3555430091068067], Time Step: 0.006588638153683726s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.04392922574948828A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53313)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7370693452825047, 0.36529228192161556, 0.592356531683875, 0.4226666163348748, 0.12862638199745155, 0.6955333407911389, 0.1833419870628596, 0.7870818898408323, 0.11416183898735605, 0.5479930353700797], Time Step: 0.00848497856017841s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03881133770169151A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53314)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.23870807656035958, 0.37341334876848353, 0.4237956675460295, 0.18758013158894188, 0.22720347607136224, 0.2694362451042497, 0.3410089917908402, 0.268165686442927, 0.5625205147199148, 0.6379004050860689], Time Step: 0.0034185014019172963s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.012066395648960374A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53315)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8757955552233196, 0.9849706867662994, 0.8789250548646513, 0.3175156042526961, 0.7581763976948043, 0.42817871742437397, 0.7264436871214386, 0.13452048114139917, 0.5536076597328008, 0.7868238317848941], Time Step: 0.004054314542016414s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.026129885628514187A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53316)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.6280816576116826, 0.31149024289807997, 0.7594809143283934, 0.25882699662865005, 0.5805450884330178, 0.3860008907880045, 0.2906345126298253, 0.8639506643684602, 0.5351440115812225, 0.5371858799531083], Time Step: 0.00408451390382716s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.021040723362838857A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53317)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.775471488186322, 0.338623190522354, 0.2174685785169881, 0.7708211412324816, 0.9058107799388052, 0.6718812365005892, 0.4256110398153462, 0.34300634105759054, 0.4973587409610202, 0.14254544573015385], Time Step: 0.0037789143425914075s
