21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 9.146985028573276V, Resistance: 16.083627001510536Ω, Current: 0.5687140734931376A
21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.883151281097245V, Resistance: 14.290859382693396Ω, Current: 0.621596717399303A
21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 7.333539114505488V, Resistance: 48.087290506662555Ω, Current: 0.15250472707522203A
21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.081338113737804V, Resistance: 38.591224233030346Ω, Current: 0.20940870040658005A
21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 9.983903396098956V, Resistance: 1.6537077101238746Ω, Current: 6.03728417965173A
21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.418733112328141V, Resistance: 84.84503231162559Ω, Current: 0.09922482062835628A
21:56:22 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 5.423278278912176V, Resistance: 53.33683047281123Ω, Current: 0.1016798004462737A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 7.7983004724354545V, Resistance: 23.782114637836134Ω, Current: 0.3279061004957379A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 6.381216195634989V, Resistance: 41.28476123955275Ω, Current: 0.15456589802247622A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 4.255966332656513V, Resistance: 44.80170531335238Ω, Current: 0.09499563248517898A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 9.24100009242764V, Resistance: 37.372247359242415Ω, Current: 0.24726904977370265A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 2.1825486026726733V, Resistance: 8.155446456889896Ω, Current: 0.2676185312735159A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 3.670503388507947V, Resistance: 13.954322352012914Ω, Current: 0.2630370214988244A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 7.072933460981581V, Resistance: 91.24193125457938Ω, Current: 0.077518454111268A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 3.8693652586131027V, Resistance: 53.95139473721007Ω, Current: 0.07171946670628732A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 5.907363069558877V, Resistance: 81.16549064565679Ω, Current: 0.07278170836604168A
21:56:23 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.183047736764609V, Resistance: 86.43061097637296Ω, Current: 0.09467765695884715A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.272243581777992V, Resistance: 69.18033359253245Ω, Current: 0.11957507505674886A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.565855209778594V, Resistance: 56.38688244272027Ω, Current: 0.1519121972824102A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 6.5212031200306235V, Resistance: 23.228728782733768Ω, Current: 0.28073869995322015A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 8.40751257884977V, Resistance: 5.550263487852447Ω, Current: 1.5147952159840385A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 4.211729599817453V, Resistance: 21.191298088622418Ω, Current: 0.19874807018446525A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 7.579643193143164V, Resistance: 32.86236376717996Ω, Current: 0.23064814347630846A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 9.479827358489786V, Resistance: 31.113812710995848Ω, Current: 0.30468227878544585A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 1.9598836604840213V, Resistance: 14.219808963934838Ω, Current: 0.1378277067895075A
21:56:24 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 2.615395410502614V, Resistance: 57.59078691266735Ω, Current: 0.04541343417426627A
21:56:25 | INFO | Greenlee_Ammeter.py:17 | Greenlee Ammeter - Voltage: 7.147533656443204V, Resistance: 87.14874443449685Ω, Current: 0.0820153371436747A
