00:15:07 | INFO | base_ammeter.py:26 | CircutorAmmeter is running on port 5002
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64801)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7394903405344072, 0.5257319671350241, 0.9088562250527444, 0.8898023515786002, 0.9235559992347339, 0.16913210495908937, 0.5116113000840895, 0.4793184786323266, 0.5589168835258939, 0.8786746545923855], Time Step: 0.0014958824839246911s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.009850521242804389A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64802)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.4020926240973013, 0.48592670096554047, 0.810651073317101, 0.7794541435549583, 0.4899926545307247, 0.6867125564693798, 0.46850393220618736, 0.1501815855782753, 0.2790396499166936, 0.9206417295945055], Time Step: 0.004532486852547117s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02480719185857542A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64804)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.28267249297975083, 0.3432164899040753, 0.2512133868557733, 0.5359630235422121, 0.20418683493550843, 0.686230927095177, 0.44454727417185314, 0.2266554408058987, 0.8127361931055936, 0.4691435843208569], Time Step: 0.00790205514171554s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03363561646258948A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64805)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.23322796986453329, 0.9961421772961006, 0.9406859747331651, 0.8650875088035416, 0.6089805931369984, 0.3329954829581453, 0.3869314099793071, 0.282231975110058, 0.9988321686037706, 0.30670394617337193], Time Step: 0.0064976672671909885s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03867294083934676A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64806)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.9108115982640841, 0.1926678931828074, 0.994873621640401, 0.7903420988553844, 0.10402841712352594, 0.37706643630907477, 0.46126624109772063, 0.4619444162925862, 0.26591605601712137, 0.12872059661771654], Time Step: 0.009972663017509736s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.046748227893152194A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64807)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.417778473037117, 0.9797159298412126, 0.5950543870699407, 0.11539753131850375, 0.4313156416216497, 0.8410975141070632, 0.7384047818498781, 0.29300773243181405, 0.8581799413271443, 0.7965906387890116], Time Step: 0.0038337131721733735s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.023257384165501157A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64808)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8238049367067742, 0.4163591617859409, 0.6213334126814873, 0.646384121653979, 0.7316092995907325, 0.7088271778916727, 0.9298488553698083, 0.5325717630398925, 0.8911937546680595, 0.4053999727841112], Time Step: 0.009563699896296709s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.06414691471552408A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64809)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7268694389392585, 0.7813475109878188, 0.9300654069824081, 0.20274542473944507, 0.44130933355914514, 0.3423654614275883, 0.429580092930926, 0.4983145646928048, 0.42777575380562827, 0.70103182537342], Time Step: 0.006605268105353578s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.036206148386736525A
00:15:18 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64810)
00:15:18 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8036773343845648, 0.8711939222468383, 0.4594521498753713, 0.38529821067127, 0.8638328606455722, 0.3386106332017177, 0.5316953217732664, 0.2170049752787363, 0.9116321788173954, 0.3698204326345398], Time Step: 0.003382183700539399s
00:15:18 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.01945505802760093A
00:15:19 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64811)
00:15:19 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.7470715365642401, 0.7661297417182951, 0.11221281828201542, 0.8864987395015677, 0.979164424734555, 0.18585867179609158, 0.17423056872467446, 0.29672718201432347, 0.5395189387806628, 0.9770162243906013], Time Step: 0.003358529181142852s
00:15:19 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.019024149575501192A
00:15:19 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64812)
00:15:19 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.4237289643808304, 0.5463010512508241, 0.1934170993431587, 0.7903183560106639, 0.26040895585567153, 0.429569903550148, 0.3776565065646903, 0.5259696966616222, 0.3706026638627111, 0.1770057750741187], Time Step: 0.0020928857431543927s
00:15:19 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.008570323110176208A
00:15:19 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64813)
00:15:19 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.22215995900434476, 0.24232927219439432, 0.12034936070687219, 0.44751018508677776, 0.5845596379639664, 0.418237317957873, 0.20765615698824824, 0.8114049123868017, 0.1616350510686594, 0.5124186827867567], Time Step: 0.008413007298230336s
00:15:19 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03136588310028946A
00:15:19 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64815)
00:15:19 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5559257870049015, 0.47004390610690516, 0.2212722954446324, 0.8424730032064165, 0.754173328635898, 0.6298995229069628, 0.7860660390986141, 0.991573117062154, 0.9844952406630624, 0.2417748736823738], Time Step: 0.0034213886549166184s
00:15:19 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02216271941518223A
00:15:19 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 64816)
