00:15:07 | INFO | base_ammeter.py:26 | EntesAmmeter is running on port 5001
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54349)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.0486790863155637T, Calibration Factor: 1062.0815076462375, Current: 51.701157384875216A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54350)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.09735818042390236T, Calibration Factor: 798.4210917077176, Current: 77.73282470072905A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54351)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.019774555242371983T, Calibration Factor: 1321.2058251868011, Current: 26.12625757670006A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54352)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.04972255064628618T, Calibration Factor: 1390.0134410977075, Current: 69.1150137239993A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54354)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.0769603814347755T, Calibration Factor: 1571.8547637564186, Current: 120.97054217876291A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54355)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.051256998269180516T, Calibration Factor: 539.5908063059799, Current: 27.657805024891328A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54356)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.027596676904379926T, Calibration Factor: 1979.5105478258229, Current: 54.62791301716134A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54357)
00:15:15 | INFO | Entes_Ammeter.py:16 | ENTES Ammeter - Magnetic Field: 0.061377226745591804T, Calibration Factor: 725.6686561102305, Current: 44.5395296482465A
00:15:15 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 54358)
