22:53:55 | INFO | base_ammeter.py:23 | GreenleeAmmeter is running on port 5000
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64257)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 6.8602134313712035V, Resistance: 38.273664538111966Ω, Current: 0.179241092123279A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64258)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 1.4067141772696456V, Resistance: 51.68435000795543Ω, Current: 0.02721741062919664A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64259)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.779812795951116V, Resistance: 34.50274524414653Ω, Current: 0.283450279876216A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64260)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.999743148536133V, Resistance: 28.828127077267915Ω, Current: 0.3121861897033462A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64261)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 6.985662945056622V, Resistance: 87.27421377653697Ω, Current: 0.08004269122312811A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64263)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.653021190414794V, Resistance: 97.79925037833543Ω, Current: 0.057802295708260926A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64264)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.258840948920723V, Resistance: 82.61063687873015Ω, Current: 0.09997309379232175A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64265)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.490974777124201V, Resistance: 26.96307070508532Ω, Current: 0.3149112677111653A
22:54:00 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64266)
22:54:00 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 3.002339147011818V, Resistance: 34.69544886703279Ω, Current: 0.08653409150341346A
22:54:01 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 64267)
