23:14:32 | INFO | base_ammeter.py:23 | GreenleeAmmeter is running on port 5000
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 53926)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.542690385947157V, Resistance: 92.28413623152494Ω, Current: 0.06006113956619267A
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 53928)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.85084141110078V, Resistance: 58.42194535354224Ω, Current: 0.16861542955285214A
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57815)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 2.4032498890892375V, Resistance: 73.93718814430534Ω, Current: 0.032503939484400536A
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57816)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 3.5296403469893924V, Resistance: 13.612887728484248Ω, Current: 0.25928667138007805A
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57817)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.847967599761768V, Resistance: 70.7169787398928Ω, Current: 0.12511800924507627A
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57818)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.814356869839216V, Resistance: 55.7281368849575Ω, Current: 0.17611134013145827A
23:14:37 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57819)
23:14:37 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 3.3898901591596915V, Resistance: 70.36674454183199Ω, Current: 0.048174605507640786A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57820)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.935609223603953V, Resistance: 28.205133742229837Ω, Current: 0.3522624396823181A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57821)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 4.604583649852291V, Resistance: 10.10500348495538Ω, Current: 0.4556736330381011A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 57822)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.102748571087552V, Resistance: 37.68011358346565Ω, Current: 0.2415796478671422A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61887)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 3.5695280800059024V, Resistance: 83.99028173819423Ω, Current: 0.042499298801407334A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61889)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 1.60163417892583V, Resistance: 30.752741950251767Ω, Current: 0.05208102033687821A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61890)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.78514842298325V, Resistance: 60.383819432785316Ω, Current: 0.1620491799773503A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61891)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 2.844101658890121V, Resistance: 41.242059310755955Ω, Current: 0.06896119414067128A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61892)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.052157969204401V, Resistance: 62.29069891509567Ω, Current: 0.08110613714722745A
23:14:38 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61893)
23:14:38 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 6.169820137802817V, Resistance: 35.433058118034346Ω, Current: 0.17412609764728623A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61894)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 6.64710640125319V, Resistance: 69.3409412352424Ω, Current: 0.09586120815266365A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61895)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 6.975819995594515V, Resistance: 88.11789140084286Ω, Current: 0.07916462689582458A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61896)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 2.7560539476301114V, Resistance: 66.91929967567707Ω, Current: 0.0411847398431733A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61897)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.929619496309453V, Resistance: 15.304265140958229Ω, Current: 0.5834726080647575A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61898)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 2.982800957933138V, Resistance: 23.105254532318586Ω, Current: 0.1290962172159121A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61901)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 3.519374254544015V, Resistance: 42.30352080977933Ω, Current: 0.08319341244359121A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61902)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.052292343223146V, Resistance: 4.191578081642191Ω, Current: 1.205343726113708A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61903)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.284592561481588V, Resistance: 23.58130110073483Ω, Current: 0.3937268991994791A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61904)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 4.671612909621473V, Resistance: 85.33907957369114Ω, Current: 0.05474177754152468A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61905)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 7.354138882887776V, Resistance: 89.18459683141975Ω, Current: 0.08245974242378266A
23:14:39 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61906)
23:14:39 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 1.2487827075684685V, Resistance: 85.4628446834906Ω, Current: 0.014611995565948015A
23:14:40 | INFO | base_ammeter.py:27 | Connected by ('127.0.0.1', 61907)
