23:48:40 | INFO | base_ammeter.py:26 | GreenleeAmmeter is running on port 5000
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 56338)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 1.017518134160428V, Resistance: 26.24915713434186Ω, Current: 0.038763840261720466A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 56339)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.9744106509839465V, Resistance: 73.4730045275096Ω, Current: 0.08131436422675516A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 56340)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 7.069243539489621V, Resistance: 56.00294157751655Ω, Current: 0.12622986115300242A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 56341)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 1.7868405683548572V, Resistance: 88.89014888347674Ω, Current: 0.020101671454023206A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51938)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 2.114378754737543V, Resistance: 49.0788148559038Ω, Current: 0.04308129201867228A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51939)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 9.360410401956345V, Resistance: 62.6932169678692Ω, Current: 0.1493049942987235A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51940)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 6.923300049077081V, Resistance: 12.286446959002221Ω, Current: 0.5634908181493765A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51942)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.773837787360568V, Resistance: 6.217550021416275Ω, Current: 1.4111406835713731A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51943)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.375381417591207V, Resistance: 30.322229261158927Ω, Current: 0.27621258798143844A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51944)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.642957615722084V, Resistance: 5.062192320564248Ω, Current: 1.1147260432596726A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51945)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 5.551327377788809V, Resistance: 16.917015472794244Ω, Current: 0.32815051725384964A
23:48:45 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51946)
23:48:45 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 3.347251943411745V, Resistance: 16.192753091669225Ω, Current: 0.20671296131439343A
23:48:46 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51947)
23:48:46 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 8.878246698508423V, Resistance: 9.705119882605741Ω, Current: 0.9148003121961118A
23:48:46 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51948)
23:48:46 | INFO | Greenlee_Ammeter.py:16 | Greenlee Ammeter - Voltage: 7.0763097545122V, Resistance: 73.5588812036156Ω, Current: 0.09619925750263289A
23:48:46 | INFO | base_ammeter.py:30 | Connected by ('127.0.0.1', 51949)
